iter	RMSE
0	27.80196751
1	26.53615602
2	25.3253212
3	24.19578416
4	23.1478434
5	22.1412941
6	21.16309231
7	20.22171242
8	19.32351637
9	18.51978217
10	17.72303326
11	17.00275098
12	16.28735046
13	15.6298627
14	14.96830551
15	14.36283309
16	13.78305914
17	13.23054238
18	12.71502202
19	12.21403538
20	11.72911767
21	11.2823219
22	10.84393217
23	10.43094253
24	10.03426161
25	9.672084052
26	9.323401098
27	8.993446653
28	8.658456108
29	8.3593919
30	8.079249374
31	7.825522392
32	7.572973292
33	7.362818897
34	7.141310844
35	6.929596599
36	6.733593499
37	6.543999593
38	6.372110509
39	6.205437704
40	6.046933017
41	5.891728114
42	5.752552966
43	5.630954393
44	5.513677149
45	5.408457583
46	5.302049906
47	5.198882904
48	5.102837725
49	5.010897904
50	4.923820198
51	4.847826
52	4.777289769
53	4.707186698
54	4.646973751
55	4.582627323
56	4.5206958
57	4.463726634
58	4.414828436
59	4.362723252
60	4.318259245
61	4.276003983
62	4.236635002
63	4.209752259
64	4.176633485
65	4.142955084
66	4.108154479
67	4.087378748
68	4.054897437
69	4.028984566
70	4.006047013
71	3.974222362
72	3.948472602
73	3.930845716
74	3.907069634
75	3.885410642
76	3.866342693
77	3.84225151
78	3.825997368
79	3.804674198
80	3.787064864
81	3.76742226
82	3.752867575
83	3.73428122
84	3.719415659
85	3.702843008
86	3.689312185
87	3.674761142
88	3.66001669
89	3.646601295
90	3.63191524
91	3.618854881
92	3.601244247
93	3.586483295
94	3.574848355
95	3.561567742
96	3.547817257
97	3.537211214
98	3.522916807
99	3.511384852
100	3.501333629
101	3.49143193
102	3.479457927
103	3.471709314
104	3.462639665
105	3.451335625
106	3.442699471
107	3.434461486
108	3.424582154
109	3.416081467
110	3.407108865
111	3.393394218
112	3.379809796
113	3.370017311
114	3.358058103
115	3.351259699
116	3.340142625
117	3.330626868
118	3.319801472
119	3.312059542
120	3.304088798
121	3.297977968
122	3.286152747
123	3.279550785
124	3.272445496
125	3.265298699
126	3.252952407
127	3.244284411
128	3.23800367
129	3.231489134
130	3.222984405
131	3.214948205
132	3.206324145
133	3.199392366
134	3.192265829
135	3.182976194
136	3.171612386
137	3.1674544
138	3.160145148
139	3.154988821
140	3.150677454
141	3.141573994
142	3.131756386
143	3.122324718
144	3.114868742
145	3.105694446
146	3.095701641
147	3.089289253
148	3.080550882
149	3.076595588
150	3.068446861
151	3.057891188
152	3.05005084
153	3.041417367
154	3.031236954
155	3.022795854
156	3.017219841
157	3.007263818
158	2.998442433
159	2.98891901
160	2.983040587
161	2.975036522
162	2.968528071
163	2.959936126
164	2.952626864
165	2.948220161
166	2.938195239
167	2.932929792
168	2.929373228
169	2.922920489
170	2.917202845
171	2.910943724
172	2.903972021
173	2.895554294
174	2.890710632
175	2.883178538
176	2.874156476
177	2.866441114
178	2.862277367
179	2.858918393
180	2.851137841
181	2.846211288
182	2.842823342
183	2.834055127
184	2.826633149
185	2.819581954
186	2.812651689
187	2.81169999
188	2.805134096
189	2.798026146
190	2.794107115
191	2.785590166
192	2.77847348
193	2.769845525
194	2.76245309
195	2.754617499
196	2.749112795
197	2.741989293
198	2.733119618
199	2.73194082
200	2.731084823
201	2.724560473
202	2.720622372
203	2.718999002
204	2.716850102
205	2.708383399
206	2.703341977
207	2.69966616
208	2.692152388
209	2.685920408
210	2.677952515
211	2.669552702
212	2.664946509
213	2.659627961
214	2.652678612
215	2.642639555
216	2.637775705
217	2.636945892
218	2.634534306
219	2.628057725
220	2.627081341
221	2.625294795
222	2.618807779
223	2.611756494
224	2.608381428
225	2.606289592
226	2.597025381
227	2.592635994
228	2.58531919
229	2.579374062
230	2.570912161
231	2.569647948
232	2.562492182
233	2.558895785
234	2.557870729
235	2.556419373
236	2.550542794
237	2.545355587
238	2.539767909
239	2.533075082
240	2.526780411
241	2.523515778
242	2.52240589
243	2.519385741
244	2.511861749
245	2.504122668
246	2.497947341
247	2.489895532
248	2.487843517
249	2.487209085
250	2.483757017
251	2.482876436
252	2.480232018
253	2.474143065
254	2.473174516
255	2.472556667
256	2.46411719
257	2.456467344
258	2.454819567
259	2.45013019
260	2.447688401
261	2.445595353
262	2.44221397
263	2.43553011
264	2.433801438
265	2.43053694
266	2.425437226
267	2.423413517
268	2.422176069
269	2.418751769
270	2.417269665
271	2.412197148
272	2.40936829
273	2.407703698
274	2.406700285
275	2.400239103
276	2.39961246
277	2.396331812
278	2.394348456
279	2.392172913
280	2.387066954
281	2.385557174
282	2.384351985
283	2.383198784
284	2.381657171
285	2.376224389
286	2.371318147
287	2.36602814
288	2.36560339
289	2.360857511
290	2.355463735
291	2.350662688
292	2.348743062
293	2.342768746
294	2.342351831
295	2.336813489
296	2.332687976
297	2.326692082
298	2.3204592
299	2.315105682
