iter	Passed	Remaining
0	102	30733
1	107	16039
2	112	11122
3	116	8629
4	120	7135
5	125	6149
6	129	5429
7	133	4883
8	138	4470
9	142	4146
10	148	3908
11	153	3680
12	157	3484
13	161	3305
14	165	3152
15	170	3028
16	174	2908
17	178	2802
18	182	2706
19	186	2617
20	191	2543
21	195	2470
22	200	2409
23	204	2347
24	208	2289
25	212	2234
26	216	2186
27	220	2140
28	224	2095
29	228	2052
30	232	2014
31	235	1975
32	238	1933
33	242	1894
34	245	1857
35	248	1821
36	251	1787
37	255	1759
38	258	1727
39	261	1698
40	264	1671
41	267	1644
42	270	1618
43	274	1594
44	277	1571
45	280	1549
46	283	1527
47	286	1506
48	289	1484
49	293	1465
50	296	1445
51	299	1427
52	302	1408
53	305	1391
54	308	1374
55	311	1358
56	315	1343
57	318	1330
58	322	1318
59	326	1307
60	331	1297
61	335	1287
62	339	1277
63	344	1268
64	350	1266
65	354	1257
66	358	1248
67	362	1238
68	367	1229
69	371	1221
70	376	1213
71	380	1205
72	385	1199
73	390	1191
74	394	1184
75	399	1176
76	403	1169
77	408	1161
78	412	1154
79	417	1149
80	423	1144
81	427	1136
82	431	1127
83	435	1120
84	440	1113
85	444	1104
86	447	1095
87	451	1087
88	455	1080
89	459	1071
90	463	1063
91	466	1055
92	470	1046
93	473	1037
94	476	1028
95	480	1020
96	483	1011
97	486	1002
98	489	993
99	492	984
100	495	976
101	499	970
102	503	962
103	507	957
104	511	950
105	516	944
106	519	937
107	523	931
108	527	925
109	531	918
110	535	911
111	539	905
112	543	898
113	549	896
114	555	893
115	559	888
116	565	885
117	570	880
118	575	875
119	580	870
120	584	864
121	588	858
122	592	853
123	596	847
124	600	840
125	604	835
126	608	828
127	612	823
128	617	818
129	620	811
130	625	806
131	628	800
132	633	794
133	637	790
134	642	784
135	646	780
136	651	775
137	656	770
138	662	766
139	666	761
140	672	758
141	680	756
142	685	752
143	689	747
144	694	742
145	698	736
146	702	731
147	707	726
148	711	720
149	715	715
150	720	710
151	727	707
152	732	703
153	737	699
154	743	695
155	749	691
156	754	687
157	759	682
158	764	677
159	768	672
160	772	666
161	776	661
162	781	656
163	785	651
164	790	647
165	795	641
166	799	636
167	805	632
168	809	627
169	816	624
170	825	622
171	830	618
172	835	613
173	839	607
174	843	602
175	851	600
176	856	595
177	862	591
178	867	586
179	873	582
180	878	577
181	883	572
182	890	569
183	899	567
184	905	562
185	911	558
186	916	553
187	925	551
188	931	546
189	937	542
190	944	539
191	953	536
192	959	531
193	965	527
194	972	523
195	977	518
196	982	513
197	986	508
198	991	503
199	995	497
200	1000	492
201	1004	487
202	1009	482
203	1013	477
204	1018	471
205	1021	466
206	1025	460
207	1029	455
208	1033	450
209	1037	444
210	1041	439
211	1046	434
212	1050	429
213	1054	423
214	1057	418
215	1062	413
216	1067	408
217	1071	403
218	1077	398
219	1081	393
220	1085	388
221	1090	383
222	1094	377
223	1098	372
224	1102	367
225	1107	362
226	1111	357
227	1117	352
228	1121	347
229	1125	342
230	1130	337
231	1134	332
232	1138	327
233	1143	322
234	1147	317
235	1151	312
236	1156	307
237	1160	302
238	1164	297
239	1170	292
240	1174	287
241	1178	282
242	1183	277
243	1187	272
244	1191	267
245	1197	262
246	1201	257
247	1207	253
248	1213	248
249	1219	243
250	1226	239
251	1232	234
252	1239	230
253	1243	225
254	1248	220
255	1252	215
256	1256	210
257	1261	205
258	1265	200
259	1270	195
260	1275	190
261	1279	185
262	1284	180
263	1289	175
264	1294	170
265	1297	165
266	1302	160
267	1307	156
268	1311	151
269	1315	146
270	1319	141
271	1322	136
272	1326	131
273	1329	126
274	1334	121
275	1338	116
276	1342	111
277	1346	106
278	1350	101
279	1354	96
280	1358	91
281	1362	86
282	1366	82
283	1370	77
284	1374	72
285	1378	67
286	1382	62
287	1386	57
288	1389	52
289	1393	48
290	1398	43
291	1402	38
292	1407	33
293	1411	28
294	1415	23
295	1420	19
296	1424	14
297	1429	9
298	1433	4
299	1437	0
